id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20585422,Newer deluxe 1 master suit + living room,54988103,Robert,,San Jose,37.30598,-122.01166,Private room,110,1,40,2023-10-07,0.48,1,81,2,
20588810,"Private Mediterranean suit losgatos,Saratoga",147099254,Rezan,,Monte Sereno,37.23481,-121.98844,Entire home/apt,345,3,8,2021-11-29,0.12,4,90,0,
20599160,★ Gorgeous ★ Downtown Corporate Extended Stay,92908214,Sabrina,,San Jose,37.32374,-121.86887,Entire home/apt,249,3,91,2024-06-19,1.12,2,226,6,
20625896,Cozy Cottage near Stanford,36896426,Sandra,,Palo Alto,37.40889,-122.11703,Entire home/apt,220,3,76,2024-05-16,0.93,4,102,7,
20639998,Large Room in Nice Mountain View Town Home,6535258,Phil,,Mountain View,37.40585,-122.06422,Private room,70,9,32,2023-11-11,0.39,3,223,3,
20642366,1887 Farmhouse Room #3,14166472,Jim Carroll,,Mountain View,37.38896,-122.07748,Private room,69,2,130,2024-05-17,1.57,12,127,21,
20648561,Quiet 5 Beds Kid-Friendly Mins to DTWN & Stanford,4656446,Air Concierge,,Palo Alto,37.45368194580078,-122.156005859375,Entire home/apt,461,3,55,2024-05-10,0.67,4,26,6,
20672737,Lena’s 1BR apartment (in-law unit) near downtown,147908329,Angela,,San Jose,37.366,-121.83272,Entire home/apt,86,1,146,2024-06-02,1.77,3,140,18,
20676086,Downtown Campbell Executive Cottage,3631294,Matt & Julie,,Campbell,37.28714,-121.94634,Entire home/apt,180,2,280,2024-06-23,3.50,1,289,40,
20676786,Newer Sunnyvale 1BR/BA Cottage near downtown,147833690,Tina,,Sunnyvale,37.38529,-122.02264,Entire home/apt,115,30,27,2024-03-24,0.36,1,98,2,
20692149,Lovely Room in Los Altos with French Country Charm,50000235,Roopal Bahl,,Los Altos,37.37123,-122.09703,Private room,,30,27,2019-08-16,0.33,3,0,0,
20694601,❤️❤️❤️Luxury Exec. Home in Los Altos near Stanford,50000235,Roopal Bahl,,Los Altos,37.37321,-122.0962,Entire home/apt,529,30,37,2019-09-14,0.46,3,50,0,
20695725,Spacious Furnished 1-Bdrm in North SJ Apt,48106131,Smil E-Realty,,San Jose,37.38133,-121.89643,Private room,85,30,1,2018-07-08,0.01,4,317,0,
20696342,Beautiful Three Bedrooms in South San Jose,148115881,Mac,,San Jose,37.29936,-121.78954,Private room,218,3,23,2024-04-17,0.28,4,118,6,
20709939,聖何西帶家具豪宅2樓房間出租,67241410,Smil E-Realty,,San Jose,37.38009,-121.89756,Private room,85,3,1,2022-06-02,0.04,4,308,0,
20713600,Home away from home,19997680,Aj,,San Jose,37.29684,-121.95545,Private room,48,7,97,2023-08-27,1.17,2,25,30,
20775102,2 Bed / 2 Bath & Central AC Apartment+Sports TV ..,39859123,R,,San Jose,37.35519,-121.88555,Entire home/apt,188,14,37,2024-05-18,0.45,3,319,5,
20799585,Beautiful Bedroom in Quiet SJ,120010845,Mayela,,San Jose,37.22831,-121.86056,Private room,99,1,10,2019-08-14,0.12,1,359,0,
20823716,"357#D downtwn/Stanford 1bedroom/carport hardwd,A/C",9473789,Kathy,,Palo Alto,37.45016,-122.16547,Entire home/apt,144,4,27,2024-02-23,0.33,40,312,4,
20831672,4bedroom modern house desirable location Palo Alto,142453985,Joy,,Palo Alto,37.44255,-122.13929,Entire home/apt,,7,0,,,1,0,0,
20837079,Silicon Valley Executive home in Santa Clara,17737874,Walter,,Santa Clara,37.40128,-121.94981,Entire home/apt,406,3,66,2024-05-27,0.82,1,334,6,
20889193,Newly Remodeled Pool-house With Private Entrance,139902581,Amanda,,Unincorporated Areas,37.31685,-121.92887,Entire home/apt,150,3,61,2019-11-14,0.74,1,90,0,
20904877,Apartment In San Jose,91023688,Vishal,,Unincorporated Areas,37.3726426,-121.8059967,Entire home/apt,95,1,0,,,1,356,0,
20916434,"Naglee Park , Downtown San Jose, Blue room",136555293,Delane,,San Jose,37.33995,-121.87824,Private room,76,2,249,2024-06-18,3.04,2,144,41,
20933027,Big private room in san jose,31830543,Tracy & David,,San Jose,37.35596,-121.82791,Private room,55,1,36,2024-05-24,0.44,2,341,1,
20953370,Wipitamshe House Private Apartment #2,75889867,Lisa,,San Jose,37.34303,-121.89025,Entire home/apt,,31,133,2024-05-01,2.02,2,22,6,
20955773,"Sunnyvale Sunlit Gem: Spacious, New & Prime Loc!",126656771,Hannah,,Sunnyvale,37.39164,-122.03011,Private room,79,6,16,2024-06-03,0.20,5,252,7,2021-7768
20984468,brand new studio unit with kitchen,51396369,Ha,,Mountain View,37.38909,-122.1052,Entire home/apt,129,24,15,2023-07-09,0.18,2,25,1,
20987740,Silicon Valley and De Anza College  Living Place,151062066,Shirley,,San Jose,37.31767,-121.97855,Private room,55,7,14,2022-09-02,0.17,2,244,0,
20995666,Luxurious Retreat on Extra-Large Lot near Stanford,40826998,Tracy,,Palo Alto,37.45614,-122.15257,Entire home/apt,774,2,161,2024-06-04,2.20,6,111,28,
21011060,Cozy two bedroom condo with free parking.,149156980,Susan,,Morgan Hill,37.13371,-121.66108,Entire home/apt,,30,31,2024-05-31,0.38,1,303,2,
21011119,Modern & Spacious 2BR | Washer/D | Castro Street,30283594,Global Luxury Suites,,Mountain View,37.392303,-122.09397,Entire home/apt,278,1,16,2022-01-03,0.21,20,325,0,
21025543,Stunning Location and Super Clean Private Room,148115881,Mac,,San Jose,37.30139,-121.79098,Private room,79,3,73,2024-04-01,0.92,4,283,5,
21040013,Luxurious 2 Bedrooms in Silicon Valley,148115881,Mac,,San Jose,37.30112,-121.78872,Private room,139,3,40,2024-06-05,0.49,4,163,6,
21070285,"A beautiful, cozy and enjoyable room",151842062,Deb,,Cupertino,37.33541,-122.0298,Private room,67,14,9,2023-09-16,0.11,3,317,1,
21083095,"2 Beds:Free Parking Close to Convention Center, AC",667277,Eva,,San Jose,37.32017,-121.87523,Private room,,3,27,2020-12-06,0.35,1,0,0,
21090716,Hidden Gem,152049564,Jim,,Sunnyvale,37.35604,-122.01454,Entire home/apt,147,5,74,2023-12-29,0.91,2,150,3,2022-7620
21091720,Engineer's Paradise - Private Room with 2 Beds,78966955,Chaitali,,Santa Clara,37.39578,-121.96188,Private room,100,1,32,2023-12-11,0.39,13,317,3,
21098478,Room w/ Desk & Private Bath | AC | Shared Kitchen,119351163,Teresa And Curtis,,Sunnyvale,37.36258,-122.03725,Private room,90,28,10,2023-12-25,0.18,2,274,2,2017-7370
21113790,Beautiful private 1br/1ba+office near Stanford,17732344,Jenny,,Palo Alto,37.41466,-122.13472,Private room,119,1,123,2024-06-16,1.50,1,261,19,
21113904,Silicon Valley Executive Home - Heart of Los Altos,118997831,Gita,,Los Altos,37.38466,-122.1213,Entire home/apt,750,30,14,2022-04-30,0.17,1,176,0,
21136579,309-LG. Studio Center of San Pedro Sq. San Jose!,123481831,Ryan,,San Jose,37.33417,-121.89215,Entire home/apt,200,28,37,2024-05-11,0.46,27,154,4,
21140253,"Naglee Park, Downtown San Jose, Ivory Room",136555293,Delane,,San Jose,37.33804,-121.87636,Private room,76,2,209,2024-06-23,2.56,2,151,32,
21148350,Los Gatos Garden Inn-Executive Suite-Daisy,127585023,Melissa,,Los Gatos,37.22015,-121.98102,Private room,175,1,11,2019-05-27,0.15,9,167,0,
21148578,Los Gatos Garden Inn-Executive Suite-Lilacs,127585023,Melissa,,Los Gatos,37.22218,-121.98105,Private room,179,1,3,2019-07-01,0.04,9,164,0,
21170853,Renee's Ranch,152779335,Renee,,Unincorporated Areas,37.17859,-121.71325,Entire home/apt,1560,2,44,2021-08-30,0.55,1,80,0,
21172507,The First Room,134705293,Singh,,San Jose,37.33816,-121.92707,Private room,62,16,9,2023-08-13,0.11,4,319,1,
21220982,Beautiful private princess room in Sunnyvale heart,11324906,Kitty,,Sunnyvale,37.39109,-122.00826,Private room,688,30,10,2019-09-03,0.12,1,89,0,
21245610,"3 Bedroom town home, perfect for families!",1935004,Arti,,San Jose,37.2575,-121.82152,Entire home/apt,,4,7,2020-03-16,0.09,1,0,0,
21314909,Romantic Cottage Oasis in Historic SJ Near SJSU,154275738,Lynnea,,San Jose,37.33823,-121.87427,Entire home/apt,101,2,86,2024-05-27,1.09,1,219,15,
21323980,209-LG Studio in Center of San Pedro Sq. San Jose!,123481831,Ryan,,San Jose,37.33612,-121.89249,Entire home/apt,198,28,24,2024-05-09,0.31,27,50,3,
21324176,(9) Cozy Private Room in Mt View!,773413,David,,Mountain View,37.38199,-122.07298,Private room,79,30,15,2023-12-09,0.19,5,319,2,
21344976,"BC: Gorgeous, Flowing, Remodeled in Heart of SV",12520479,Robert & Shelly,,Santa Clara,37.33812,-121.96929,Entire home/apt,324,3,105,2024-05-25,1.31,27,131,17,
21357715,Private Garden Cottage with Private Entrance,62657283,Magda,,Los Gatos,37.23945,-121.98217,Entire home/apt,149,2,203,2024-06-23,2.50,1,247,22,
21381674,1BR Modern Luxury Private 700 SQFT Home,154863178,Sophia,,Sunnyvale,37.34986,-122.00895,Entire home/apt,,2,64,2024-05-27,0.83,1,0,10,2021-7754
21382535,Private room & bathroom - a spiritual garden house,72898331,Aliki,,San Jose,37.23934,-121.9142,Private room,85,1,80,2022-08-20,0.99,1,37,0,
21385468,MR12: 6 bd/4ba in 2 Condos in San Jose,12520479,Robert & Shelly,,San Jose,37.38121,-121.88524,Entire home/apt,362,3,50,2024-05-17,0.65,27,289,12,
21424678,Downtown San Jose beauty by Convention Center,133652067,Chrissy,,San Jose,37.3273,-121.88217,Entire home/apt,250,1,32,2024-05-27,0.48,6,312,28,
21450251,Home Sweet Home,14809140,Lupita,,Mountain View,37.39601,-122.06664,Private room,74,31,11,2024-04-30,0.14,3,312,3,
21460091,Cupertino Area Private Room with En Suite Bath,30250949,Chris And Joan,,San Jose,37.3061,-122.02655,Private room,77,2,15,2024-03-17,0.19,6,112,1,
21462141,Gorgeous Master Bedroom,149733888,Lan,,Cupertino,37.31277,-122.02403,Private room,82,1,58,2024-05-01,0.73,8,297,2,36933035
21462489,Spacious Guest Bedroom,149733888,Lan,,Cupertino,37.31367,-122.02393,Private room,65,1,44,2023-11-02,0.55,8,176,6,BL-000703
21471033,Cozy private suite separate entrance >30 day only,155913348,Anita,,Palo Alto,37.43993,-122.12236,Entire home/apt,115,29,66,2023-08-12,0.81,2,231,1,
21475889,*New Remodel! Priv. Entrance Efficiency off Patio,126656771,Hannah,,Sunnyvale,37.3912,-122.03046,Private room,63,6,31,2024-06-15,0.38,5,196,7,2021-7768
21478880,PAP1 - Snug & Cozy Studio near Stanford-8min walk,36795000,Doris,,Palo Alto,37.42159,-122.15185,Entire home/apt,68,30,218,2024-04-27,2.70,8,68,5,
21514551,"Lovely 4BR house with patio, hot tub (Stanford)",8266730,Janice,,Palo Alto,37.42105,-122.13424,Entire home/apt,513,2,167,2024-06-07,2.08,2,75,28,
21517104,AL1: Remarkable 3/1 Near SCU; Converted Mansion,12520479,Robert & Shelly,,San Jose,37.34473,-121.93093,Entire home/apt,261,3,42,2023-12-21,0.53,27,60,6,
21526486,Studio near new Sunnyvale Apple Tiny home-sleeps 2,2899101,Christina,,Sunnyvale,37.37525,-122.01753,Entire home/apt,85,28,101,2024-05-21,1.25,24,223,3,2022-7057
21531089,Vineyard-Poolside King Studio-Private Entrance,76424554,Delyse,,Unincorporated Areas,37.14626,-121.62587,Entire home/apt,234,1,252,2024-05-18,3.18,6,324,20,
21540862,Downtown Oasis with Heated Pool near Whole Foods,9668552,Dru,,San Jose,37.32414,-121.90608,Entire home/apt,395,2,287,2024-06-13,4.01,1,110,39,
21558431,Private Studio in the Hills - 10 mins to valley.,28811316,Helen,,Los Altos Hills,37.36168631162497,-122.16869022085899,Entire home/apt,,1,175,2023-10-06,2.19,1,0,8,
21566372,Sleek and Modern 2BR/2FL Loft Over Santana Row,156822938,Grand Hospitality Group,,San Jose,37.32151,-121.94711,Entire home/apt,200,1,380,2024-06-22,4.74,1,153,51,
21605365,Private Entrance Suite with Vineyard Views,76424554,Delyse,,Unincorporated Areas,37.14653,-121.62604,Entire home/apt,200,1,99,2024-05-05,1.26,6,334,12,
21612256,Sweet Downtown San Jose Cottage,157157512,Jennifer,,San Jose,37.32352992239162,-121.89708831678563,Entire home/apt,238,2,55,2024-06-23,3.58,1,308,43,
21620072,545 #2A 1bedrm/1bath/carport Downtown,9473789,Kathy,,Palo Alto,37.44754,-122.15629,Entire home/apt,155,4,34,2024-05-03,0.42,40,320,4,
21622829,Travel nurse/professional preferred (Rm#2),127432738,Bonny,,San Jose,37.29761,-121.91193,Private room,44,31,12,2023-12-01,0.16,1,172,2,
21623564,Modern family house in palo Alto,6684261,Judith,,Palo Alto,37.41298,-122.13866,Entire home/apt,,4,0,,,1,0,0,
21665409,Sit out on the Terrace of this Chic Home in Silicon Valley,157692542,Nyrie,,Sunnyvale,37.38923,-122.00591,Entire home/apt,454,31,50,2022-10-13,0.62,1,365,0,2022-7315
21694320,Large private studio Stanford/downtown Palo Alto,80354249,Diana,,Palo Alto,37.44606,-122.16582,Entire home/apt,,2,100,2022-11-17,1.27,1,0,0,
21711538,"Private room/bathroom, central location",53229010,Igal,,Sunnyvale,37.40094,-122.01378,Private room,62,3,80,2024-06-18,0.99,1,17,11,2022-2103
21717294,"Modern, Clean, & Private in Silicon Valley",131714374,Michael,,Sunnyvale,37.38993,-122.00531,Entire home/apt,118,3,109,2024-04-28,1.35,1,313,9,2022-7383
21768899,2 BR/2 full bath Modern Santana Row Condo sleeps 6,21988808,Monnie,,San Jose,37.32118,-121.94837,Entire home/apt,281,3,61,2024-06-14,0.76,1,334,9,
21787368,Villa Riposo,76424554,Delyse,,Morgan Hill,37.14622,-121.62401,Private room,1957,1,32,2023-12-10,0.43,6,331,1,
21814252,Cozy Trailer Between the Redwoods,38847821,Ben,,Unincorporated Areas,37.15968,-121.98011,Entire home/apt,52,31,116,2024-06-01,1.47,1,279,2,
21830085,San Jose  private Cozy Bedroom #2 share Bathrooms,125088780,Angel,,San Jose,37.24086,-121.8506,Private room,45,2,48,2024-05-19,0.73,8,161,15,
21879671,Sunny & Spacious Luxury 1 Bedroom in Mountain View,95459395,Bluebird,,Mountain View,37.392303,-122.09397,Entire home/apt,240,1,8,2023-11-30,0.12,10,360,1,
21892624,Jr. Executive Suite in Silicon Valley,159734383,Alan,,San Jose,37.26317,-121.94185,Entire home/apt,230,28,22,2024-04-17,0.29,1,106,2,
21926713,"(20/4) Cozy Private Apt @ Rainbow, Cupertino.",159216488,Sammi,,Cupertino,37.30012,-122.03596,Entire home/apt,108,2,63,2024-04-13,0.80,5,291,3,
21936873,Room1-Studio private room w/bath kitchenette,102450067,Nancy,,Sunnyvale,37.39137,-122.0041,Shared room,73,30,6,2022-11-09,0.08,7,299,0,
21938437,Master Bedroom in San Jose,132838046,Qiaoyan,,San Jose,37.35588,-121.82925,Private room,59,1,30,2024-03-25,0.38,2,354,2,
21948925,Rm2-Techie House privateroomSunnyvale interns home,102450067,Nancy,,Sunnyvale,37.39068,-122.00476,Shared room,61,30,2,2019-08-10,0.03,7,299,0,
21950294,Rm3-Techie House privateroomSunnyvale interns home,102450067,Nancy,,Sunnyvale,37.39076,-122.00317,Shared room,61,30,1,2019-09-24,0.02,7,312,0,
21965741,Room#5 Nice one person private room,102450067,Nancy,,Sunnyvale,37.39097,-122.00435,Private room,52,30,8,2023-08-11,0.11,7,313,1,
21965967,Room#6 Nice one person private room,102450067,Nancy,,Sunnyvale,37.39076,-122.00414,Private room,52,30,4,2023-08-19,0.06,7,297,1,
21966004,Comfortable Room w/ Private Bath in Beautiful Home,6367585,Brigitte,,Palo Alto,37.41306,-122.12025,Private room,98,3,83,2024-06-16,1.04,2,3,19,
21968691,Comfy Room w/ Private Bath in Charming Home,6367585,Brigitte,,Palo Alto,37.41124,-122.11977,Private room,92,2,65,2024-06-16,0.82,2,3,14,
21996807,LOCATION LOCATION in GREAT House Silicon Valley-E2,142933064,Ginger & Joey,,Santa Clara,37.33872,-121.95757,Private room,59,1,158,2024-03-31,2.01,20,201,8,
22031845,"Stylish, Light-filled Cottage",160894163,Mike And Cindy,,San Jose,37.30045,-121.89576,Entire home/apt,146,2,442,2024-06-23,5.56,1,99,63,
22051577,Modern one bedroom in-law unit in Sunnyvale,42088440,Hannah,,Sunnyvale,37.36683,-122.06269,Entire home/apt,125,2,188,2024-05-26,2.36,1,170,22,2018-7224
22088498,Willow Glen duplex w/bed,35847501,Jess,,San Jose,37.31914,-121.89081,Entire home/apt,100,1,0,,,1,269,0,
22146086,Oasis in the heart of bustling Silicon Valley!,28282024,Arjun,,Los Altos,37.35205,-122.06447,Private room,,20,1,2018-08-11,0.01,1,0,0,
22151503,Santa Clara Room near Intel & Nvidia,155176718,Virginia,,Santa Clara,37.39204,-121.96796,Private room,55,2,126,2024-06-23,1.61,3,112,28,
22175587,Guest en-suite in San Jose,12612723,Kalyani,,San Jose,37.30089,-121.78252,Private room,50,2,1,2024-05-01,0.53,1,257,1,
22178426,Studio with private entrance and its own patio,162014380,Ben & Mandy,,Campbell,37.27756,-121.96355,Private room,110,2,12,2024-06-23,0.20,1,72,4,
22191540,"545 #2B Forest Ave., 2brm/1bth hardwd,granite, A/C",9473789,Kathy,,Palo Alto,37.44643,-122.157,Entire home/apt,169,4,40,2023-04-30,0.51,40,308,0,
22229700,"STN: Beautiful, Spacious 5 bd/3ba in San Jose",12520479,Robert & Shelly,,San Jose,37.37675,-121.88508,Entire home/apt,395,4,145,2024-06-05,1.84,27,324,26,
22229792,Full Bed Room: 2 Miles to SJDT & 5 Miles to SJC,106059696,John,,San Jose,37.32754,-121.85139,Private room,49,14,133,2024-03-19,1.67,6,89,5,
22247569,"Rm #2, Walk to Apple's Cuptno HQ (also see Rm #3)",70991250,Carolyn,,Sunnyvale,37.33846,-122.00831,Private room,96,2,252,2024-05-19,3.25,2,304,18,2022-7376
22251604,"Clean, New Room In Lovely 2bdrm Santa Clara Apt",162597834,L,,Santa Clara,37.36893,-121.99313,Private room,,3,0,,,1,0,0,
22283501,Your Temporary Home in Silicon Valley (Beige Room),33598217,Kathy,,San Jose,37.32106,-121.91376,Private room,65,2,47,2024-06-09,0.60,2,157,8,
22327246,One bed room one bathroom near Stanford,163234430,Iris,,Palo Alto,37.456208,-122.145066,Entire home/apt,168,1,59,2024-06-14,0.75,1,50,21,
22342165,$895 Room for Rent in house,159453811,Steven,,Santa Clara,37.39849,-121.9632,Private room,,90,0,,,1,0,0,
22379977,Cupertino Home near Apple Park Spaceship Campus,160747561,Mina,,Cupertino,37.31645,-122.03733,Private room,60,1,111,2019-11-07,1.40,1,158,0,
22393489,Entire Private In-law Small Studio,71288642,Mike,,San Jose,37.34114,-121.86932,Entire home/apt,119,5,54,2024-03-21,0.69,6,233,5,
22440310,"Modern Living in PA, 1 Block to Stanford (#2337)",154896480,April,,Palo Alto,37.423977,-122.147659,Entire home/apt,384,1,234,2024-06-07,2.98,9,17,37,
22455344,Private Cottage Just Blocks From Santana Row,10003507,James,,San Jose,37.32285,-121.93863,Entire home/apt,100,2,153,2024-05-31,1.96,1,297,15,
22494543,Cozy Private Bedroom with Bathroom  Near Downtown,162108673,Sal And Ching,,Unincorporated Areas,37.37926,-121.83743,Private room,58,90,23,2019-11-01,0.29,2,320,0,
22534560,(1) Cupertino Private Apartment,159216488,Sammi,,Cupertino,37.30133,-122.03572,Entire home/apt,109,2,61,2024-06-09,0.79,5,221,6,
22536190,"Cozy room upstairs in Almaden, San Jose, CA",1155421,Elle,,San Jose,37.20043,-121.82897,Private room,45,3,8,2023-05-02,0.10,5,320,0,
22569693,Nice Room in a Quaint House in Silicon Valley-E1,142933064,Ginger & Joey,,Santa Clara,37.33868,-121.95866,Private room,69,1,123,2023-05-20,1.58,20,312,0,
22588489,Desirable MV 2B/1B Palo Alto/Los Altos Border,160393397,Chris And Andrea,,Mountain View,37.40471,-122.1046,Entire home/apt,140,60,93,2024-05-22,1.20,2,312,2,
22601129,Bright and quiet 2BR 1BA by Santana Row,5254568,Eric,,San Jose,37.31035,-121.94676,Entire home/apt,145,2,180,2024-05-27,2.29,2,306,10,
22639194,Silicon Valley San Jose Private Bathroom Two beds,61054925,Lisa,,San Jose,37.24272,-121.84795,Private room,50,28,93,2024-06-15,1.18,5,98,4,
22640745,Silicon Valley San Jose #2 bedroom queen size bed,61054925,Lisa,,San Jose,37.2434,-121.84584,Private room,43,30,95,2024-06-15,1.21,5,85,4,
22641060,Silicon Valley San Jose  #3 bedroom queen size bed,61054925,Lisa,,San Jose,37.24358,-121.8478,Private room,45,28,97,2024-06-01,1.24,5,133,4,
22674045,Private Master Suite in Morgan Hill Estate,81464601,Norm,,Morgan Hill,37.13382,-121.69085,Private room,149,2,5,2023-10-06,0.11,3,113,2,
22690560,Cozy guest room in an elegant house,167269939,Shariq,,San Jose,37.30683,-121.75942,Private room,65,2,135,2023-08-05,1.74,2,47,3,
22753207,Spacious Cottage in Palo Alto near downtown,11314209,Ledell,,Palo Alto,37.45144,-122.14098,Entire home/apt,,25,52,2019-11-06,0.67,1,0,0,
22754896,Cozy Private 1BR+1BA Near Santana Row,5254568,Eric,,San Jose,37.3103,-121.94772,Entire home/apt,89,5,44,2024-04-01,0.57,2,298,4,
22882213,Hillside Retreat Private 2-Room Guest Unit & Pool,27233239,P.T.,,San Jose,37.36018,-121.80801,Entire home/apt,108,1,660,2024-06-21,9.10,2,46,91,
22887097,Santana Row Properties #7 - Silicon Valley Getaway,54748806,Santana Row Properties,,San Jose,37.32201,-121.9475777,Entire home/apt,193,3,178,2024-06-19,2.29,9,347,14,
22889998,"Sweet as can Bee'Inn       
 Los Gatos!",169413746,Christine,,Los Gatos,37.24164,-121.95738,Entire home/apt,185,5,52,2024-06-08,0.67,4,189,16,
22901359,Dragonfly 2Br/1Ba Home in Mountain View,6576366,Estell,,Mountain View,37.39479,-122.08789,Entire home/apt,134,30,119,2024-06-05,1.56,6,107,7,
22906410,"Executive home #1, close to main SV businesses.",54785473,Qoe,,Los Altos,37.33884,-122.08049,Private room,,30,67,2023-09-21,0.86,3,0,1,
22911987,1905 Ranch House Room #5,14166472,Jim Carroll,,Mountain View,37.39694,-122.09122,Private room,63,2,68,2023-08-21,0.87,12,290,1,
22959655,Manzanita Cottage in the Heart of Silicon Valley,33077706,Sean,,Santa Clara,37.3435,-121.96074,Entire home/apt,125,2,187,2024-03-19,2.41,3,122,24,
22969574,Charming Loft/Studio: Los Altos/Palo Alto/Mt. View,42334005,Suresh,,Los Altos,37.39319,-122.1198,Entire home/apt,119,28,100,2022-12-24,1.29,1,332,0,
22988118,"Cute Separate Place with kitchen, washer, dryer .",161191386,Oanh,,Santa Clara,37.40156,-121.96102,Entire home/apt,89,28,37,2024-01-31,0.48,1,175,11,
22989310,Relaxing California Home with pool,109083099,Martha,,Los Altos,37.35624,-122.08942,Entire home/apt,,10,1,2018-06-28,0.01,1,0,0,
23000723,"Executive home, close to main SV businesses.",54785473,Qoe,,Los Altos,37.3394,-122.07901,Private room,60,30,53,2024-02-26,0.68,3,138,3,
23021766,"Palo Alto Gardens ,  a hidden Oasis",123140472,Adriana,,Mountain View,37.40543,-122.11361,Private room,116,28,20,2024-03-02,0.26,3,153,1,
23022858,The Cozy Cottage in the Glen!,129894454,Chetak  Jeeta,,Sunnyvale,37.36011276011804,-122.01740911025439,Entire home/apt,80,30,0,,,1,74,0,
23037656,Cozy and great location walk to downtown Sunnyvale,170953522,Noemi,,Sunnyvale,37.37874,-122.03784,Entire home/apt,200,90,183,2023-04-22,2.37,1,297,0,2018-7097
23055841,The CarriageHouse Flat | 1bd | 5min to SJC Airport,14175116,Laura,,San Jose,37.34389877,-121.92700195,Entire home/apt,167,30,44,2024-03-07,0.58,16,59,9,
23108246,Spacious Top Floor Condo Retreat,20023815,Joann,,Mountain View,37.40563,-122.10376,Entire home/apt,279,3,123,2024-05-17,1.59,1,130,16,
23157561,"Private room, Due entrances, Sparkly clean",24833684,Miya,,Santa Clara,37.39889,-121.96693,Private room,66,30,73,2024-05-10,0.95,4,217,15,
23200879,Cozy room with private entrance and bathroom,172381822,Cynthia,,San Jose,37.38255,-121.87423,Private room,90,2,35,2024-04-23,0.45,1,298,11,
23206216,"Private room, bath, and entrance.",172562559,Ewa,,San Jose,37.2717,-121.98644,Private room,60,1,6,2024-04-27,0.52,1,297,6,
23249719,Sunny & spacious 2BR in downtown Mountain View,9419684,Churchill,,Mountain View,37.392303,-122.09397,Entire home/apt,278,1,4,2023-12-28,0.05,17,326,1,
23275043,Charming Garden Cottage,66353648,Margaret,,Palo Alto,37.42322,-122.14944,Entire home/apt,160,2,188,2024-06-25,2.43,1,122,22,
23307159,Family-Focused & Pet-Friendly Home | EV Charging,173298653,Jorge,,San Jose,37.38896,-121.86633,Entire home/apt,189,2,8,2023-11-05,0.91,1,215,8,
23313544,Cozy treasure,173608310,Aditi,,San Jose,37.29134045684082,-121.79823408951817,Private room,51,1,1,2024-01-16,0.19,1,221,1,
23325337,Townhouse in the heart of Mtn. View,152373738,Kedest,,Mountain View,37.40518,-122.09333,Entire home/apt,150,30,4,2023-07-27,0.06,1,311,1,
23392864,Home in downtown San Jose,1729913,Cora,,San Jose,37.34136,-121.89559,Entire home/apt,150,28,2,2022-07-14,0.03,1,2,0,
23396090,King Bed Room: 2 Miles to SJDT & 5 Miles to SJC,106059696,John,,San Jose,37.32755,-121.8514,Private room,99,60,72,2024-01-20,0.94,6,89,1,
23421412,Beautiful spacious 4 bedroom house in Los Altos,174677052,Tomer,,Los Altos,37.34815,-122.07208,Entire home/apt,395,30,13,2023-08-12,0.22,1,340,1,
23472034,"1905 Ranch House, Room #3",14166472,Jim Carroll,,Mountain View,37.39383,-122.09015,Private room,61,2,108,2024-06-07,1.42,12,134,25,
23472859,Private Lv&Full Kitchen 1Br1Ba w/ Separate Entry,175199354,Eddie,,Sunnyvale,37.3904,-122.0257,Entire home/apt,112,5,84,2024-05-05,1.10,2,126,14,2021-7714
23488786,Downtown Campbell private bedroom & private bath,6505918,Sally,,Campbell,37.29176,-121.94702,Private room,,3,83,2021-10-21,1.08,1,0,0,
23538058,1bedroom furnished with Private bath womenonly,1201456,Nilisha,,San Jose,37.29199,-121.85533,Private room,100,60,0,,,1,278,0,
23560384,Cozy Palo Alto Home Near Downtown,119053238,Dee,,Palo Alto,37.4221,-122.12058,Entire home/apt,249,1,37,2021-08-07,0.49,10,179,0,
23565442,Roro’s 1 bedroom house - w/kitchen/laundry/office,147908329,Angela,,San Jose,37.36622,-121.83263,Entire home/apt,100,1,65,2024-06-15,0.87,3,299,13,
23566864,Private 1 Bedroom Apt in Garden Setting,12218862,Lynda,,San Jose,37.31306,-121.95987,Entire home/apt,,1,294,2022-04-28,3.84,2,0,0,
23596326,Santana Row Luxury Executive Loft 2BR,23944886,Jenny,,San Jose,37.32118,-121.94913,Entire home/apt,249,2,83,2024-01-30,1.13,1,189,6,
23600104,"Lux Ritz Suite w Spa bath, pool & luscious yard",51040753,Sheryl,,Sunnyvale,37.35773,-122.04587,Entire home/apt,251,1,145,2024-05-08,1.89,3,170,18,2018-7308
23611753,1905 Ranch House Room #7,14166472,Jim Carroll,,Mountain View,37.39391,-122.09024,Private room,60,2,76,2024-04-26,1.02,12,278,15,
23645402,Practical commuter room w/ shard bath,1324319,Thomasena,,Campbell,37.27691,-121.96874,Private room,,4,10,2018-09-01,0.13,1,0,0,
23649791,Skidaemon's Home (Bedroom 1),141594837,Brian,,Sunnyvale,37.39546,-122.00185,Private room,45,3,80,2024-05-31,1.05,3,23,17,2019-7559
