id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1749189,Private Clean Quiet Room in Nice neighborhood,9203852,Fang,,San Jose,37.26894,-121.88322,Private room,,15,1,2017-08-19,0.01,1,0,0,
1815359,"3BR TH Near Kaiser SC, Caltrain & Costco Sunnyvale",42458,Emey,,Sunnyvale,37.35734,-122.00241,Entire home/apt,170,31,12,2024-02-20,0.09,11,312,2,
1870059,La Casita. An Oasis in downtown San Jose,9692536,Jose,,San Jose,37.3308,-121.87893,Entire home/apt,190,28,185,2023-09-16,1.43,1,291,1,
1879601,Los Gatos Furnished Corporate/Easy to move into,9761785,Pearne Properties,,Unincorporated Areas,37.23821,-121.99818,Entire home/apt,144,30,1,2021-09-22,0.03,2,365,0,
1892611,"Upstairs room, private bathroom, gym",6138400,Daniel,,Cupertino,37.33488,-122.02491,Private room,145,31,68,2023-08-21,0.54,1,217,1,
1926272,"Best of the Row, 2000sf Terrace Villa —Happy Home",9979068,Chip & Jennifer,,San Jose,37.32278,-121.9473,Entire home/apt,452,1,51,2022-08-03,0.60,1,0,0,
1950761,"30% Discount/month: Unlimited Food, Clean, & Quiet",10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,49,30,55,2024-05-30,0.43,16,328,3,
1959776,"545 #3 1bdrm/1bth,dwntwn,hardwd,A/C",9473789,Kathy,,Palo Alto,37.44836,-122.15565,Entire home/apt,154,4,55,2024-04-26,0.50,40,320,3,
1985054,The Lavender House,3579695,Toni,,Unincorporated Areas,37.1511,-121.9881,Entire home/apt,134,1,357,2024-06-23,2.78,2,320,36,
2045313,Amazing Views from 1.5 acre Los Altos Hills estate,2416808,Inna,,Los Altos Hills,37.3548,-122.12281,Entire home/apt,190,14,10,2024-03-30,0.08,1,336,3,
2057269,"Peaceful 3BD/2BA Home, Heart of Silicon Valley",9925907,Ladan,,San Jose,37.34286,-121.87072,Entire home/apt,179,2,218,2024-06-10,2.37,2,199,15,
2096985,Old Downtown Palo Alto to Stanford Campus,10696511,Noel,,Palo Alto,37.42674,-122.14291,Private room,150,5,88,2024-04-04,0.71,1,143,2,
2102840,Serene luxury in premier North San Jose location,6869724,Shideh,,San Jose,37.3996,-121.92298,Entire home/apt,168,10,55,2024-05-20,0.44,1,124,7,
2111028,"Craftsman, Palo Alto 4-5 bedrooms, 3 full baths.",1156757,Dean,,Palo Alto,37.44233159848534,-122.15557122843114,Entire home/apt,375,7,22,2024-04-21,0.18,1,32,8,
2155694,Long-term Stay: Clean + Professional + Food Plan,10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,46,14,38,2024-03-11,0.30,16,279,2,
2155740,Long-term Stay: Professionally Cleaned + Food Plan,10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,34,9,37,2023-08-26,0.30,16,268,1,
2170740,Luxe 4bd/3bth w/Gr8View/Lgdeck/Hottub/Billiard&gym,10898309,Justin,,San Jose,37.36723675089996,-121.79499376918943,Entire home/apt,394,5,237,2024-05-06,1.90,1,305,18,
2183797,"Lemon Tree Cottage, central silicon valley",11136930,Owen And Amy,,San Jose,37.29784,-121.9767,Entire home/apt,179,3,195,2024-06-17,1.56,1,287,19,
2197461,Sunny Modern Home in Palo Alto,8748547,Maria,,Palo Alto,37.42579,-122.12684,Private room,114,1,136,2024-06-14,1.07,1,41,7,
2199542,Cozy & private 1br cottage in Silicon Valley,7323786,Sheri,,Sunnyvale,37.36928320683377,-122.03330777585506,Entire home/apt,222,1,32,2024-05-05,1.54,1,153,22,2022-7519
2217061,Work from Home: Clean + Quiet + Food Provided,10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,40,30,26,2023-10-24,0.20,16,312,1,
2235281,Light Victorian Home Downtown Campbell King Bed,11404715,Cynthia,,Campbell,37.28914,-121.94372,Entire home/apt,196,1,217,2024-06-01,1.95,2,41,44,
2241035,Best Deal-Rivermark-Santa Clara!,11444774,First Name,,Santa Clara,37.39531,-121.94224,Private room,100,3,20,2024-03-27,0.17,1,313,2,
2268571,"FREE Food, Clean, & Quiet: Engineers & Interns",10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,37,60,38,2023-09-10,0.32,16,313,1,
2268664,"Female-Only Room: Clean, Quiet, & Food Provided",10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,50,30,45,2022-10-01,0.36,16,324,0,
2268672,"Entrepreneurs & Engineers: Clean, Quiet, Food Plan",10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,34,30,41,2023-06-04,0.32,16,298,0,
2305412,Luxury Condo DwnTwn SJ SAP/Caltrain,8561776,Natalie,,San Jose,37.32249,-121.90355,Entire home/apt,120,30,38,2023-03-04,0.31,1,306,0,
2328846,Nice Cupertino Area Condo- EZ access to everywhere,236098,Sharon,,San Jose,37.29942,-122.03159,Entire home/apt,77,30,2,2024-01-02,0.02,1,35,1,
2386717,June - September internships: Clean + Quiet + Food,10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,35,13,55,2023-10-12,0.45,16,319,2,
2396703,Cozy Cottage in Los Gatos,12244101,Peter,,Los Gatos,37.25805,-121.97891,Entire home/apt,171,3,140,2024-06-23,1.17,1,218,21,
2448151,MR1: Fantastic San Jose 3 bdrm,12520479,Robert & Shelly,,San Jose,37.38266,-121.88601,Entire home/apt,231,3,61,2024-04-06,0.49,27,323,4,
2448155,Private room in North San Jose !,8805229,Rhonda,,San Jose,37.38458,-121.85615,Private room,76,2,5,2019-07-30,0.08,2,365,0,
2477141,5 Star Loft in Santana Row!,12669326,Jeff,,San Jose,37.32192,-121.94663,Entire home/apt,295,3,75,2023-08-24,0.64,1,9,4,
2496109,"Silicon Valley ""Farm House""",12776661,Kunal,,San Jose,37.24772,-121.88601,Entire home/apt,121,2,148,2023-04-16,1.24,1,6,0,
2500968,Clean + Quiet + Food Provided: Engineers & Interns,10088145,Drew,,San Jose,37.29905,-121.97117,Shared room,34,6,53,2024-03-31,0.44,16,267,5,
2515292,Home away from home in Santa Clara,12875700,Jay,,Santa Clara,37.33029,-121.99394,Entire home/apt,225,2,167,2024-06-23,1.34,2,358,9,
2547455,Beautiful Home with Hot Tub on quiet court,874096,Stephen,,Los Altos,37.3934,-122.10253,Entire home/apt,,30,7,2022-09-23,0.08,2,0,0,
2632537,Iris House: Garden room - dwntn Palo Alto/Stanford,7406543,Carina,,Palo Alto,37.44346,-122.14858,Private room,129,30,121,2023-12-31,0.98,5,313,5,
2670018,HackerHome - Mountain View shared room 1a,43806,Vic,,Mountain View,37.39522,-122.08064,Shared room,57,30,24,2024-04-30,0.19,6,329,2,
2672540,Ladybug Studio in Mountain View,6576366,Estell,,Mountain View,37.39608,-122.08848,Entire home/apt,108,30,493,2024-06-02,3.98,6,120,17,
2676760,Single room,13680678,Jennifer,,Palo Alto,37.43655,-122.11712,Private room,100,3,0,,,1,8,0,
2809199,Luxury 3 bd Business/Vacation in Rivermark,14368599,Shaw & Vicki,,Santa Clara,37.4,-121.95437,Entire home/apt,330,3,180,2024-06-09,1.48,2,181,18,
2861174,Casablanca  Master Suite,14626687,Mircha,,Palo Alto,37.4171,-122.12669,Private room,93,4,70,2024-03-25,0.72,1,247,8,
2880487,**Premium Executive Condo. with Maid Svcs**,14337340,Murtz,,Los Altos,37.37318,-122.10736,Entire home/apt,165,3,31,2022-08-01,0.25,1,80,0,
2897527,Spacious Master Room with Private Bathroom,14809140,Lupita,,Mountain View,37.39547,-122.06505,Private room,83,30,22,2024-04-16,0.18,3,208,2,
2943488,Co-Living #5~budget room~young techies Sunnyvale,2899101,Christina,,Sunnyvale,37.38306,-122.0206,Private room,50,31,43,2024-05-18,0.35,24,182,1,2017-7717
2963248,Co-Living #7~budget room~queen bed half bath,2899101,Christina,,Sunnyvale,37.3826,-122.01964,Private room,,31,26,2020-10-31,0.23,24,2,0,2017-7717
3068858,Awesome Eichler in Palo Alto,15287522,Gordon,,Palo Alto,37.41896,-122.12082,Entire home/apt,435,4,16,2024-06-18,0.13,1,21,2,
3128262,2BR~2Bth Nice Townhouse in Serene Oasis,2920595,Pamela,,Los Gatos,37.2600767,-121.986211,Entire home/apt,250,90,0,,,2,364,0,
3132652,** 2BR LUXURY Apt in Palo Alto **,5196269,JT On Behalf Of,,Palo Alto,37.44314,-122.11924,Entire home/apt,289,21,1,2014-08-28,0.01,5,365,0,
3153857,Private studio in downtown,4475827,Eugene,,Mountain View,37.38885,-122.07696,Entire home/apt,115,3,265,2024-06-04,2.21,1,35,25,
3166169,"Private bathroom private room, 13 min to tesla",5446102,Kelly,,San Jose,37.42878,-121.97111,Private room,59,120,10,2023-08-15,0.08,5,281,1,
3177772,"Exquisite DT unit,walk to bus stops",42458,Emey,,Mountain View,37.38389,-122.0841,Entire home/apt,155,10,14,2023-10-10,0.12,11,120,1,
3215941,Large Comfortable Exec. 3 BR House,16287559,Sam,,San Jose,37.40181,-121.84636,Entire home/apt,299,1,43,2017-10-06,0.35,1,44,0,
3216792,Students Welcome! 1 Bed & 1 Private Bath,16293983,Lisa,,San Jose,37.28733,-121.78001,Private room,75,30,0,,,1,267,0,
3271133,Cozy Bedroom (Perfect for Interns),16539695,Brian,,Santa Clara,37.39564,-121.94933,Private room,70,28,28,2024-05-03,0.23,1,174,2,
3272579,The Studio at Rose Manor | 5 mins to SJC Airport,14175116,Laura,,San Jose,37.3443985,-121.9260025,Entire home/apt,147,30,139,2024-05-26,1.14,16,305,4,
3334410,"Gorgeous, comfortable two bedroom Suite",16835158,Steven,,Palo Alto,37.43173,-122.15311,Entire home/apt,279,4,316,2024-06-05,2.61,1,194,24,
3339021,Studio Cottage in a Lovely Garden,1476312,David & Carrielynn,,Mountain View,37.39252,-122.06464,Entire home/apt,99,2,416,2024-06-07,3.42,1,292,45,
3344696,Cute & clean violet room,16882189,Cindy,,San Jose,37.26835,-121.84965,Private room,42,2,183,2024-05-12,1.50,3,0,27,
3395770,Charming Ranch House,17133151,Stefan,,Sunnyvale,37.39404,-122.0211,Entire home/apt,156,60,81,2023-12-24,0.67,1,320,2,
3440809,"Quiet room w/own entrance,bathroom micro + fridge",1526555,Katharine (Kathy),,Mountain View,37.38561,-122.09514,Private room,,4,180,2023-07-23,1.58,2,4,1,
3447088,"Charming home, Shasta-Hanchett Park, Central SJ",17075509,Ben,,San Jose,37.32628,-121.91622,Entire home/apt,145,31,96,2024-05-17,0.81,1,94,12,
3544603,50's Craftsman in Downtown San Jose,14470232,Melonee,,San Jose,37.34625,-121.89165,Entire home/apt,145,3,211,2023-01-26,1.82,1,34,0,
3550391,Private Sleeps 2- SelfContained SJ Silicon Valley,17872988,Susan,,San Jose,37.31422,-121.79104,Entire home/apt,98,7,185,2023-12-28,1.54,1,278,6,
3554692,Charming Retreat | Private Room in Silicon Valley,14175116,Laura,,San Jose,37.3432241506232,-121.9259981658923,Private room,81,7,5,2024-03-08,0.04,16,94,1,
3625959,"Convenient location, Private bathroom Master suite",3975652,Grace,,Santa Clara,37.35493,-121.95815,Private room,125,3,1,2014-09-08,0.01,2,365,0,
3645832,master bedroom suite in a house,18416745,Yong,,Santa Clara,37.33092,-121.95511,Private room,,2,4,2017-07-16,0.03,1,0,0,
3654787,Palo Alto Garden Cottage,6958076,Lynette,,Palo Alto,37.43081,-122.14919,Entire home/apt,140,3,253,2024-06-21,2.13,1,81,3,
3657216,Historic Downtown Mtn View Home,3967231,Anne And Mike,,Mountain View,37.39215,-122.08223,Entire home/apt,425,1,83,2024-05-04,0.72,7,313,7,
3667097,Large home w/central AC  near Kaiser/280/Lawrence,42458,Emey,,Santa Clara,37.32942,-121.99618,Entire home/apt,200,1,22,2024-01-11,0.31,11,210,3,
3689088,Bright and Airy 2BR/1bath Walk to DT and Caltrain,42458,Emey,,Mountain View,37.38338,-122.08294,Entire home/apt,145,31,16,2021-03-20,0.14,11,215,0,
3758972,Just 2.8 miles from Levi's Stadium!,7582146,Deborah,,San Jose,37.40607,-121.93222,Entire home/apt,,1,0,,,1,0,0,
3766480,Charming Los Gatos Cottage B,5304855,Chris,,Los Gatos,37.22438,-121.97053,Entire home/apt,125,21,52,2023-11-02,0.44,3,197,2,
